,Ciudad,genero,edad,SensaciónVisual,SensaciónVisualNormalizada,PreferenciaVisual,PreferenciaVisualNormalizado,SensaciónTérmica,SensaciónTérmicaNormalizada,PreferenciaTérmica,PreferenciaTérmicaNormalizado,EV_media,Rango_EV_media,TEMP,HUMEDAD
240,Armenia,F,17.0,-1.0,0.5,2.0,0.0,-2.0,0.33,0.0,1.0,80.0,1.0,26.1,65.6
241,Armenia,F,17.0,-2.0,0.0,1.0,0.5,-2.0,0.33,0.0,1.0,104.0,2.0,26.8,64.9
242,Armenia,M,20.0,-1.0,0.5,0.0,1.0,1.0,0.67,-1.0,0.67,315.0,3.0,28.7,60.1
243,Armenia,M,20.0,1.0,0.5,0.0,1.0,1.0,0.67,-1.0,0.67,85.0,1.0,29.0,60.0
244,Armenia,M,20.0,-1.0,0.5,1.0,0.5,0.0,1.0,0.0,1.0,59.0,1.0,27.0,59.4
245,Armenia,M,20.0,-1.0,0.5,0.0,1.0,0.0,1.0,0.0,1.0,54.0,1.0,26.1,65.6
246,Armenia,M,20.0,-1.0,0.5,1.0,0.5,-1.0,0.67,0.0,1.0,64.0,1.0,26.8,64.9
247,Armenia,M,18.0,-1.0,0.5,1.0,0.5,2.0,0.33,-2.0,0.33,189.0,2.0,28.7,60.1
248,Armenia,M,18.0,-1.0,0.5,1.0,0.5,0.0,1.0,-1.0,0.67,49.0,1.0,29.0,60.0
249,Armenia,M,18.0,0.0,1.0,1.0,0.5,0.0,1.0,0.0,1.0,36.0,1.0,27.0,59.4
250,Armenia,M,18.0,0.0,1.0,1.0,0.5,0.0,1.0,0.0,1.0,36.0,1.0,26.1,65.6
251,Armenia,M,18.0,0.0,1.0,1.0,0.5,0.0,1.0,0.0,1.0,36.0,1.0,26.8,64.9
252,Armenia,M,19.0,1.0,0.5,0.0,1.0,0.0,1.0,-1.0,0.67,511.0,4.0,26.2,66.9
253,Armenia,M,19.0,0.0,1.0,-1.0,0.5,0.0,1.0,-1.0,0.67,443.0,3.0,25.9,69.0
254,Armenia,M,19.0,0.0,1.0,0.0,1.0,0.0,1.0,-1.0,0.67,530.0,4.0,25.8,69.9
255,Armenia,M,19.0,1.0,0.5,-1.0,0.5,1.0,0.67,-2.0,0.33,306.0,3.0,26.0,70.8
256,Armenia,M,19.0,1.0,0.5,-1.0,0.5,1.0,0.67,-2.0,0.33,262.0,2.0,26.1,70.6
257,Armenia,M,17.0,-1.0,0.5,1.0,0.5,0.0,1.0,-1.0,0.67,169.0,2.0,26.2,66.9
258,Armenia,M,17.0,-1.0,0.5,1.0,0.5,-1.0,0.67,0.0,1.0,140.0,2.0,25.9,69.0
259,Armenia,M,17.0,-1.0,0.5,1.0,0.5,0.0,1.0,0.0,1.0,175.0,2.0,25.8,69.9
260,Armenia,M,17.0,-1.0,0.5,1.0,0.5,0.0,1.0,0.0,1.0,99.0,1.0,26.0,70.8
261,Armenia,M,17.0,-1.0,0.5,1.0,0.5,0.0,1.0,0.0,1.0,93.0,1.0,26.1,70.6
262,Armenia,F,18.0,-1.0,0.5,1.0,0.5,3.0,0.0,-3.0,0.0,147.0,2.0,26.2,66.9
263,Armenia,F,18.0,-2.0,0.0,2.0,0.0,2.0,0.33,-3.0,0.0,140.0,2.0,25.9,69.0
264,Armenia,F,18.0,0.0,1.0,0.0,1.0,1.0,0.67,-3.0,0.0,147.0,2.0,25.8,69.9
265,Armenia,F,18.0,0.0,1.0,2.0,0.0,0.0,1.0,-2.0,0.33,129.0,2.0,26.0,70.8
266,Armenia,F,18.0,-1.0,0.5,2.0,0.0,0.0,1.0,-3.0,0.0,132.0,2.0,26.1,70.6
267,Armenia,F,21.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,208.0,2.0,26.2,66.9
268,Armenia,F,21.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,150.0,2.0,26.0,70.8
269,Armenia,F,21.0,0.0,1.0,1.0,0.5,0.0,1.0,0.0,1.0,143.0,2.0,26.1,70.6
270,Armenia,F,18.0,0.0,1.0,0.0,1.0,1.0,0.67,-2.0,0.33,95.0,1.0,26.2,66.9
271,Armenia,F,18.0,0.0,1.0,0.0,1.0,0.0,1.0,-1.0,0.67,87.0,1.0,25.9,69.0
272,Armenia,F,18.0,0.0,1.0,0.0,1.0,0.0,1.0,-1.0,0.67,99.0,1.0,25.8,69.9
273,Armenia,F,18.0,-1.0,0.5,1.0,0.5,0.0,1.0,0.0,1.0,55.0,1.0,26.1,70.6
274,Armenia,F,18.0,0.0,1.0,2.0,0.0,1.0,0.67,-1.0,0.67,60.0,1.0,26.2,66.9
275,Armenia,F,18.0,-1.0,0.5,2.0,0.0,1.0,0.67,-1.0,0.67,51.0,1.0,25.9,69.0
276,Armenia,F,18.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,55.0,1.0,25.8,69.9
277,Armenia,F,18.0,-1.0,0.5,2.0,0.0,1.0,0.67,-1.0,0.67,28.0,1.0,26.1,70.6
278,Armenia,F,25.0,0.0,1.0,-1.0,0.5,0.0,1.0,0.0,1.0,217.0,2.0,26.2,66.9
