,Ciudad,genero,edad,P1.1,P6 bien,P2.1,P7 bien,Rango_EH_media,Rango_EV_media,TEMP,HUMEDAD,sens_vis_term_orig,pref_vis_term_orig
47,Cartagena,M,27.0,-1.0,0.0,1.0,-1.0,2.0,1.0,29.8,57.9,0.0-1.01.0,-1.01.01.0
48,Cartagena,M,27.0,-1.0,-1.0,1.0,-1.0,2.0,1.0,29.7,58.3,-1.0-1.01.0,-1.01.01.0
49,Cartagena,M,27.0,-1.0,-1.0,2.0,-1.0,2.0,1.0,29.5,58.1,-1.0-1.01.0,-1.02.01.0
50,Cartagena,M,21.0,-1.0,0.0,2.0,0.0,1.0,1.0,29.3,56.2,0.0-1.01.0,0.02.01.0
51,Cartagena,M,21.0,-1.0,0.0,2.0,-1.0,1.0,1.0,29.5,56.8,0.0-1.01.0,-1.02.01.0
52,Cartagena,M,21.0,-1.0,0.0,2.0,0.0,1.0,1.0,29.8,57.9,0.0-1.01.0,0.02.01.0
53,Cartagena,M,21.0,-2.0,-1.0,2.0,1.0,1.0,1.0,29.7,58.3,-1.0-2.01.0,1.02.01.0
54,Cartagena,M,21.0,-2.0,-1.0,2.0,1.0,1.0,1.0,29.5,58.1,-1.0-2.01.0,1.02.01.0
55,Cartagena,F,21.0,1.0,0.0,2.0,0.0,1.0,1.0,29.3,56.2,0.01.01.0,0.02.01.0
56,Cartagena,F,21.0,-1.0,0.0,2.0,-1.0,1.0,1.0,29.5,56.8,0.0-1.01.0,-1.02.01.0
57,Cartagena,F,21.0,1.0,0.0,2.0,-2.0,1.0,1.0,29.8,57.9,0.01.01.0,-2.02.01.0
58,Cartagena,F,21.0,-1.0,0.0,2.0,-2.0,1.0,1.0,29.7,58.3,0.0-1.01.0,-2.02.01.0
59,Cartagena,F,21.0,-1.0,0.0,2.0,-2.0,1.0,1.0,29.5,58.1,0.0-1.01.0,-2.02.01.0
60,Cartagena,M,42.0,1.0,2.0,2.0,-3.0,1.0,1.0,29.3,56.2,2.01.01.0,-3.02.01.0
61,Cartagena,M,42.0,-1.0,1.0,2.0,-2.0,1.0,1.0,29.5,56.8,1.0-1.01.0,-2.02.01.0
62,Cartagena,M,42.0,-1.0,0.0,2.0,-3.0,1.0,1.0,29.8,57.9,0.0-1.01.0,-3.02.01.0
63,Cartagena,M,42.0,0.0,0.0,2.0,-2.0,1.0,1.0,29.7,58.3,0.00.01.0,-2.02.01.0
64,Cartagena,M,42.0,-1.0,1.0,2.0,-2.0,1.0,1.0,29.5,58.1,1.0-1.01.0,-2.02.01.0
65,Cartagena,F,24.0,0.0,1.0,1.0,-1.0,1.0,1.0,29.0,57.6,1.00.01.0,-1.01.01.0
66,Cartagena,F,24.0,-1.0,1.0,1.0,-1.0,1.0,1.0,29.2,58.6,1.0-1.01.0,-1.01.01.0
67,Cartagena,F,24.0,-1.0,1.0,1.0,-1.0,1.0,1.0,29.4,59.8,1.0-1.01.0,-1.01.01.0
68,Cartagena,F,24.0,-1.0,1.0,1.0,-1.0,1.0,1.0,29.4,60.4,1.0-1.01.0,-1.01.01.0
69,Cartagena,F,24.0,-1.0,1.0,1.0,-1.0,1.0,1.0,29.3,60.2,1.0-1.01.0,-1.01.01.0
70,Cartagena,F,20.0,0.0,0.0,2.0,-1.0,1.0,1.0,29.0,57.6,0.00.01.0,-1.02.01.0
71,Cartagena,F,20.0,0.0,0.0,2.0,-2.0,1.0,1.0,29.2,58.6,0.00.01.0,-2.02.01.0
72,Cartagena,F,20.0,0.0,0.0,2.0,-1.0,1.0,1.0,29.4,59.8,0.00.01.0,-1.02.01.0
73,Cartagena,F,20.0,-1.0,0.0,2.0,-2.0,1.0,1.0,29.4,60.4,0.0-1.01.0,-2.02.01.0
74,Cartagena,F,20.0,-1.0,0.0,2.0,-1.0,1.0,1.0,29.3,60.2,0.0-1.01.0,-1.02.01.0
75,Cartagena,F,20.0,0.0,0.0,1.0,-1.0,1.0,1.0,29.0,57.6,0.00.01.0,-1.01.01.0
76,Cartagena,F,20.0,0.0,0.0,1.0,-1.0,1.0,1.0,29.2,58.6,0.00.01.0,-1.01.01.0
77,Cartagena,F,20.0,0.0,-1.0,1.0,-2.0,1.0,1.0,29.4,59.8,-1.00.01.0,-2.01.01.0
78,Cartagena,F,20.0,-1.0,0.0,1.0,-2.0,1.0,1.0,29.4,60.4,0.0-1.01.0,-2.01.01.0
79,Cartagena,F,20.0,-1.0,-1.0,1.0,-2.0,1.0,1.0,29.3,60.2,-1.0-1.01.0,-2.01.01.0
80,Cartagena,F,20.0,0.0,1.0,0.0,-1.0,1.0,1.0,29.3,56.2,1.00.01.0,-1.00.01.0
81,Cartagena,F,20.0,-1.0,1.0,0.0,-1.0,1.0,1.0,29.5,56.8,1.0-1.01.0,-1.00.01.0
82,Cartagena,F,20.0,-1.0,1.0,1.0,-1.0,1.0,1.0,29.8,57.9,1.0-1.01.0,-1.01.01.0
83,Cartagena,F,20.0,0.0,1.0,0.0,-1.0,1.0,1.0,29.7,58.3,1.00.01.0,-1.00.01.0
84,Cartagena,F,20.0,-1.0,1.0,1.0,-1.0,1.0,1.0,29.5,58.1,1.0-1.01.0,-1.01.01.0
85,Cartagena,F,20.0,-1.0,-1.0,1.0,0.0,1.0,1.0,29.3,56.2,-1.0-1.01.0,0.01.01.0
86,Cartagena,F,20.0,-1.0,-1.0,1.0,0.0,1.0,1.0,29.5,56.8,-1.0-1.01.0,0.01.01.0
87,Cartagena,F,20.0,1.0,1.0,-1.0,-1.0,1.0,1.0,29.8,57.9,1.01.01.0,-1.0-1.01.0
88,Cartagena,F,20.0,-1.0,1.0,1.0,-1.0,1.0,1.0,29.7,58.3,1.0-1.01.0,-1.01.01.0
89,Cartagena,F,20.0,-1.0,0.0,1.0,-1.0,1.0,1.0,29.5,58.1,0.0-1.01.0,-1.01.01.0
90,Cartagena,M,21.0,0.0,0.0,2.0,-2.0,1.0,1.0,29.3,56.2,0.00.01.0,-2.02.01.0
91,Cartagena,M,21.0,0.0,0.0,2.0,-3.0,1.0,1.0,29.5,56.8,0.00.01.0,-3.02.01.0
92,Cartagena,M,21.0,-1.0,0.0,2.0,-3.0,1.0,1.0,29.8,57.9,0.0-1.01.0,-3.02.01.0
93,Cartagena,M,21.0,-2.0,2.0,2.0,-3.0,1.0,1.0,29.7,58.3,2.0-2.01.0,-3.02.01.0
94,Cartagena,M,21.0,-2.0,2.0,2.0,-3.0,1.0,1.0,29.5,58.1,2.0-2.01.0,-3.02.01.0
